Employee_ID_No,First_Name,Last_Name,Age,Biological_Sex,Prior_Experience,Job_Rank,Efficiency_Factor_Obs, Hourly_Wage ,Hours_Worked,Pay_Amount
8414,Tatiana,Conley,19,Female,0.94,Entry,2.8,24.2,8.06,195.05
8547,Tiffany,Wood,25,Female,0.87,Entry,1.3,35.52,25.86,918.54
8843,Michale,Duncan,29,Female,1.25,Entry,2.9,31.57,29.74,938.89
8988,Jamal,Dickens,33,Male,1.16,Ast. Manager,5.1,29.78,43.71,1301.68
9013,Curtis,Kane,24,Male,0.87,Entry,3.4,21.1,24.13,509.14
9026,Hammad,Kendall,37,Male,1.26,Ast. Manager,5.9,32.14,41.22,1324.81
9029,Cleveland,Peters,34,Male,0.9,Entry,5.4,32.51,30.21,982.12
9141,Nathanial,Archer,37,Male,1.54,Entry,6.4,33.89,30.11,1020.42
9357,Jeffrey,Suarez,35,Male,1.21,Entry,5.4,26.8,27.46,735.92
9378,Coby,Villalobos,19,Male,0.51,Associate,0.7,22.02,12.5,275.25
9399,Lana,Salazar,34,Female,1.3,Entry,1.4,26.11,37.85,988.26
9451,Rhonda,McKenna,21,Female,0.53,Ast. Manager,4.9,33.18,18.79,623.45
9510,Kady,Rosario,28,Female,0.5,Associate,3.4,27.8,33.31,926.01
9685,Arham,Hail,37,Male,2.11,Entry,1.9,23.15,22.66,524.57
9810,Hunter,Fellows,32,Male,1.36,Associate,4,31.45,28.79,905.44
9874,Tony,White,22,Male,1.67,Entry,4.3,19.57,14.73,288.26
